Hotel Name,Price,Rating
Radisson Hotel Gurugram Sohna Road City Center,4480,4.1 
Red Fox Hotel Sec-60 Gurugram,1389,4.2 
The Pllazio Hotel,2602,4.4 
Renest Gurugram,1318,3.7 
Country Inn Suites By Radisson Sohna,7400,4.2 
The Leela Ambience Gurgaon Hotel and Residences,5499,4.6 
Holiday Inn Express GURUGRAM SECTOR 50,1539,3.9 
Maven's House,1012,4.3 
"Le Méridien Gurgaon, Delhi NCR",3400,4.3 
Crowne Plaza GURGAON,3696,4.6 
Courtyard Gurugram Downtown,3927,4.1 
Hotel Aadhar,1106,4 
 , , 
**************************************************,DELHI,********
 , , 
 , , 
**************************************************,INDORE,********
 , , 
Ginger Indore,1977,3.9 
Hotel Effotel Indore,3540,4.5 
WOW Hotel,4052,4.5 
The Ashoka,2706,4 
Sayaji Hotels,3658,4.5 
Indore Marriott Hotel,6290,4.3 
Radisson Blu Hotel Indore,5700,4.6 
Lemon Tree Hotel Indore,2116,4.2 
SureStay Plus by Best Western,2360,4.4 
Hotel Kalinga,1630,4.1 
Hotel Princess Palace,1913,4.2 
Hotel Somdeep Palace,3729,4.1 
Fairfield by Marriott Indore,3299,4.4 
SilverKey Executive Stays 45911 Softvision College,986,4.3 
Jainam Fully AC Dormitory,336,4.3 
OYO Townhouse 135 Gandhi Hall,1504,3.9 
Hotel Purva,1191,4.1 
Hotel Ambassador,1645,4.3 
SkyLine Club & Resorts,2439,3.9 
Chokhi Dhani Indore - An Ethnic Village Resort,2556,4 
Hotel Atithi Niwas,1998,4.1 
Hotel Apna Avenue,1773,4.2 
Crescent Spa & Resort,4622,4.3 
Capital O 16115 Hotel Solitaire,2175,4.4 
OYO 11657 Hotel SVL Inn,832,3.9 
Infiniti Hotel and Spa,5269,4.3 
Capital O 26167 Ten Eleven Grand,1649,4.6 
Silverkey Executive Stays 45844 Near KIBS Hospital,999,4.1 
OYO 18692 JMC Star Inn,1066,4.1 
SilverKey Executive Stays 41109 Chikitsak Nagar,999,3.9 
 , , 
**************************************************,OOTY,********
 , , 
 , , 
**************************************************,HYDERABAD,********
 , , 
 , , 
**************************************************,HYDERABAD,********
 , , 
 , , 
**************************************************,DELHI,********
 , , 
 , , 
**************************************************,JAIPUR,********
 , , 
 , , 
**************************************************,PUNE,********
 , , 
Ginger Pune Wakad,1983,4 
"Lemon Tree Premier, City Center Pune",2779,4.4 
Royal Orchid Golden Suite Pune,1748,4.3 
Four Points By Sheraton Hotel And Serviced Apartments,3399,4.3 
"Novotel Pune, Nagar Road",3324,4.2 
Ibis Pune Hinjewadi,1350,4 
Royal Orchid Central,2074,4.2 
Ginger Pune (Pimpri),1661,4 
"The Orchid Hotel, Hinjewadi, Pune",2999,4.1 
Hotel Parc Estique,1906,4.3 
Lemon Tree Hotel Hinjawadi,1556,4.1 
Oakwood Residence Naylor Road Pune,4750,4.3 
Holiday Inn Express Pune Hinjewadi,1698,4.1 
"Lemon Tree Hotel, Viman Nagar, Pune",1965,4.3 
OYO Home 36260 Alluring Stay Hinjewadi,758,4.1 
Fairfield by Marriott Pune Kharadi,1999,4.1 
St Laurn- Koregaon Park,3604,4 
HOTEL ROYAL ENCLAVE,1045,3.7 
"Vivanta Pune, Hinjawadi",4300,4.5 
OYO Home 36257 Elegant Stay Hinjewadi,758,4.2 
"Sorrento homes, apartment and hotels",801,3.5 
Jv Cottage,5588,4.7 
Holiday Inn Express Pune Pimpri,1688,4 
Hotel Celebration Inn Chinchwad,783,3.7 
IBIS Pune Viman Nagar,1700,3.7 
Hyatt Place Pune Hinjawadi,2850,4.3 
Pride Hotel Pune,2899,4 
Conrad Pune- Luxury by Hilton,9266,4.7 
Hotel Nandanvan Annexe,900,4.1 
Hotel Silver Seven,1263,3.9 
 , , 
**************************************************,AHMEDABAD,********
 , , 
 , , 
**************************************************,DELHI,********
 , , 
 , , 
**************************************************,DELHI,********
 , , 
 , , 
**************************************************,JAIPUR,********
 , , 
 , , 
**************************************************,PUNE,********
 , , 
 , , 
**************************************************,JAIPUR,********
 , , 
 , , 
**************************************************,DELHI,********
 , , 
 , , 
**************************************************,DELHI,********
 , , 
 , , 
**************************************************,NAVI,********
 , , 
Ibis Navi Mumbai,2400,4.1 
"Royal Orchid Central Grazia, Vashi",3552,4.1 
Centre Point Navi Mumbai,2697,4.7 
Hotel Pearl,1173,3.8 
Fortune Select Exotica-Member ITC Hotel Group,2508,4.2 
"Country Inn & Suites by Radisson, Navi Mumbai",3100,4.4 
Hotel Venkat Presidency,1520,4.1 
Majestic Court Sarovar Portico,2525,4.1 
The Park Navi Mumbai,4750,4.3 
OYO Home 65363 Cozy Stay Ulwe,1525,4.1 
Monarch Express Panvel,2841,4.1 
OYO Home 49099 Peaceful Stay New Panvel,1845,4.5 
Four Points By Sheraton Navi Mumbai,3999,4.5 
Monarch Guestline,2262,4 
OYO 19748 Starwood Residency,1812,4.4 
Pallavi Avida,1938,4 
The Regenza by Tunga,3200,4 
hotel apple Inn,1342,4.3 
OYO Home 46640 Beautiful Stay Kharghar,1748,3.5 
Bhau Niwas 2,1661,3.5 
Ramada - Navi Mumbai,3305,4.4 
Soni Punjab Guest House,1571,3.5 
Hotel City View,1251,3.7 
Megh Residency,1744,4.2 
Hotel Shree Sai,857,3.7 
HOTEL THREE STAR PVT.LTD.,2537,3.8 
Hotel Shree Krishna Paradise,2014,3.9 
OYO 18748 Hotel Metro Palace,3531,3.5 
Hotel Apex,1355,3.7 
Hotel Corporate,2819,4.3 
 , , 
**************************************************,MYSORE,********
 , , 
The Quorum,1635,3.9 
Ginger Mysore,1297,4 
THE GRAND INN,948,4.1 
Roopa Elite,1848,4.5 
Aishwarya Residency,1000,4.1 
Aishwarya Suites,1000,4 
"Country Inn And Suites By Radisson, Mysore",3724,4.4 
NI Ambaari Suites,1026,4.1 
Radisson Blu Plaza Mysore,3850,4.6 
Hotel Roopa,979,3.9 
Fortune JP Palace-Member ITC Hotel Group,3299,4.4 
Pai Vista Hotel,2162,4.4 
Rio Meridian Hotel,2075,4.2 
HOTEL PREETHI INTERNATIONAL,1572,4.6 
Suhashini Palace,619,4.2 
Grand Mercure Mysore - An AccorHotels Brand,2699,4.4 
Royal Orchid Brindavan Garden,5770,4.1 
Hotel Presidency,426,3.7 
Hotel Garden City,425,3.7 
MAUVE ORCHID,779,4.1 
VILLA PARK,1479,4.4 
Hotel Sandesh The Prince,2128,4.3 
The Olive Shine,1328,4.3 
The Dawn Hotel,1352,3.8 
